article_id,question_id,text,answer_start,answer_end,question,context
1155002,545256,ชาวสลาฟตะวันออก,0,15,ชนชาติแรกที่เข้ามาตั้งถิ่นฐานในรัสเซียบริเวณแม่น้ำนีเปอร์และแม่น้ำวอลกาทางตอนใต้ของประเทศ คือชนชนาติอะไร,ชาวสลาฟตะวันออกเป็นชนชาติแรกที่เข้ามาตั้งถิ่นฐานในรัสเซียบริเวณแม่น้ำนีเปอร์และแม่น้ำวอลกาทางตอนใต้ของประเทศ ส่วนทางตอนเหนือชนชาติสแกนดิเนเวียและไวกิ้งที่รู้จักกันในนามวารันเจียน ได้ตั้งถิ่นฐานบริเวณแม่น้ำเนวา และทะเลสาบลาโดกา ทำการติดต่อค้าขายกับชาวสลาฟ แต่แล้วใน ค.ศ. 880 กษัตริย์แห่งวาแรนเจียนนามรูลิค ก็เข้ามายึ
1155003,545257,ทวีปอเมริกาเหนือ,191,207,สหรัฐอเมริกา เป็นสหพันธ์สาธารณรัฐซึ่งตั้งอยู่ในทวีปอะไร,สหรัฐอเมริกา (อังกฤษ: United States of America; ย่อเป็น: U.S.A. หรือ USA) โดยทั่วไปเรียก สหรัฐ (United States; ย่อเป็น: U.S. หรือ US) หรือ อเมริกา (America) เป็นสหพันธ์สาธารณรัฐซึ่งตั้งอยู่ในทวีปอเมริกาเหนือ ประกอบด้วยรัฐ 50 รัฐ หนึ่งเขตปกครองกลาง ห้าดินแดนปกครองตนเองสำคัญ รวมทั้งเขตสงวนอินเดียน 326 แห่ง และเกาะรอบนอกประเทศอีก 9 แห่ง[j] สหรัฐมีพรมแดนทางทิศเหนือติดประเทศแคนาดา และทางทิศใต้ติดเม็กซิโก และยังมีพรมแดนทางทะเลติดกับหลายประเทศ เช่น บาฮามาส คิวบา และ รัสเซีย ด้วยพื้นที่กว่า 9.8 ล้านตารางกิโลเม
1155003,545262,อันดับที่ 3,566,577,"สหรัฐมีพรมแดนทางทิศเหนือติดประเทศแคนาดา และทางทิศใต้ติดเม็กซิโก และยังมีพรมแดนทางทะเลติดกับหลายประเทศ เช่น บาฮามาส คิวบา และ รัสเซีย ด้วยพื้นที่กว่า 9.8 ล้านตารางกิโลเมตร และประชากรราว 331 ล้านคน ทำให้สหรัฐมีพื้นที่ขนาดใหญ่เป็นอันดับที่เท่าไหร่ของโลก
",องสำคัญ รวมทั้งเขตสงวนอินเดียน 326 แห่ง และเกาะรอบนอกประเทศอีก 9 แห่ง[j] สหรัฐมีพรมแดนทางทิศเหนือติดประเทศแคนาดา และทางทิศใต้ติดเม็กซิโก และยังมีพรมแดนทางทะเลติดกับหลายประเทศ เช่น บาฮามาส คิวบา และ รัสเซีย ด้วยพื้นที่กว่า 9.8 ล้านตารางกิโลเมตร และประชากรราว 331 ล้านคน ทำให้สหรัฐมีพื้นที่ขนาดใหญ่เป็นอันดับที่ 3 ของโลก[k] และมีประชากรมากเป็นอันดับที่ 3 ของโลก เมืองหลวงของประเทศคือ กรุงวอชิงตัน ดี.ซี. และนครใหญ่สุดคือ นครนิวยอร์ก ซึ่งเป็นศูนย์กลางทางเศรษฐกิจของประเทศ
1155004,545269,"165,250,000 ตารางกิโลเมตร",252,277,มหาสมุทรแปซิฟิก มีพื้นที่เท่าไหร่,"มหาสมุทรแปซิฟิก (อังกฤษ: Pacific Ocean) เป็นมหาสมุทรที่ใหญ่และลึกที่สุดในโลก มีอาณาเขตติดกับมหาสมุทรอาร์กติกทางตอนเหนือและจรดทวีปแอนตาร์กติกาทางตอนใต้ ติดกับทวีปเอเชียและทวีปออสเตรเลียทางทิศตะวันตก ติดทวีปอเมริกาทางทิศตะวันออก มหาสมุทรนี้มีพื้นที่กว่า 165,250,000 ตารางกิโลเมตรจึงกลายเป็นมหาสมุทรที่ใหญ่ที่สุดในโลกครบคลุมพื้นที่ผิวโลกทั้งหมด 32% และคิดเป็น 46% ของพื้นผิวน้ำบนโลก นอกจากนี้มหาสมุทรแปซิฟิกยังมีขนาดมากกว่าพื้นดินทั้งหมดบนโลก (148,000,000 ตารางกิโลเมตร) รวมกันอีกด้วย[1] จุดศูนย์กลางของซีกโลกแห่งน้ำและซีกโลกตะวันตกล้วนอยู่ในมหาสมุทรแปซิฟิก กระแสน้ำในมหาสมุทร (ที"
1155004,545270,32%,342,345,"มหาสมุทรแปซิฟิกนี้มีพื้นที่กว่า 165,250,000 ตารางกิโลเมตรจึงกลายเป็นมหาสมุทรที่ใหญ่ที่สุดในโลกครบคลุมพื้นที่ผิวโลกทั้งหมดกี่เปอร์เซน","็นมหาสมุทรที่ใหญ่และลึกที่สุดในโลก มีอาณาเขตติดกับมหาสมุทรอาร์กติกทางตอนเหนือและจรดทวีปแอนตาร์กติกาทางตอนใต้ ติดกับทวีปเอเชียและทวีปออสเตรเลียทางทิศตะวันตก ติดทวีปอเมริกาทางทิศตะวันออก มหาสมุทรนี้มีพื้นที่กว่า 165,250,000 ตารางกิโลเมตรจึงกลายเป็นมหาสมุทรที่ใหญ่ที่สุดในโลกครบคลุมพื้นที่ผิวโลกทั้งหมด 32% และคิดเป็น 46% ของพื้นผิวน้ำบนโลก นอกจากนี้มหาสมุทรแปซิฟิกยังมีขนาดมากกว่าพื้นดินทั้งหมดบนโลก (148,000,000 ตารางกิโลเมตร) รวมกันอีกด้วย[1] จุดศูนย์กลางของซีกโลกแห่งน้ำและซีกโลกตะวันตกล้วนอยู่ในมหาสมุทรแปซิฟิก กระแสน้ำในมหาสมุทร (ที่เป็นผลจากแรงคอริออลิส) ถูกแบ่งออกเป็นส่วนส่วนซึ่งจะมาพบกันใกล้บริเว"
1155005,545271,ยุคเอโดะ,94,102,ภาพอูกิโยะ คือกลุ่ม (genre) ของภาพศิลปะของญี่ปุ่นที่เกิดขึ้นในยุคสมัยใด,ภาพอูกิโยะ (ญี่ปุ่น: 浮世絵; โรมาจิ: Ukiyo-e) คือกลุ่ม (genre) ของภาพศิลปะของญี่ปุ่นที่เกิดขึ้นในยุคเอโดะ ซึ่งเป็นภาพที่แสดงความเกี่ยวเนื่องกับชีวิตความเป็นอยู่ที่ดีขึ้นของคนชั้นกลางในยุคนั้น โดยมีหัวข้อเกี่ยวกับสิ่งบันเทิงเริงรมย์ ไม่ว่าจะเป็นการแสดงการขับร้อง สตรีในแหล่งเริงรมย์ ภูมิทัศน์ แต่มีบางส่วนที่อยู่ในหัวข้อของประวัติศาสตร์ ราชสำนัก และศาสนาด้วย โดยภาพศิลปะในกลุ่มนี้ มีทั้งภาพเขียนด้วยมือ (肉筆
1155005,545272,สิ่งบันเทิงเริงรมย์,209,228,ภาพอูกิโยะ คือกลุ่ม (genre) ของภาพศิลปะของญี่ปุ่นที่เกิดขึ้นในยุคเอโดะ ซึ่งเป็นภาพที่แสดงความเกี่ยวเนื่องกับชีวิตความเป็นอยู่ที่ดีขึ้นของคนชั้นกลางในยุคนั้น โดยมีหัวข้อเกี่ยวกับอะไร,ภาพอูกิโยะ (ญี่ปุ่น: 浮世絵; โรมาจิ: Ukiyo-e) คือกลุ่ม (genre) ของภาพศิลปะของญี่ปุ่นที่เกิดขึ้นในยุคเอโดะ ซึ่งเป็นภาพที่แสดงความเกี่ยวเนื่องกับชีวิตความเป็นอยู่ที่ดีขึ้นของคนชั้นกลางในยุคนั้น โดยมีหัวข้อเกี่ยวกับสิ่งบันเทิงเริงรมย์ ไม่ว่าจะเป็นการแสดงการขับร้อง สตรีในแหล่งเริงรมย์ ภูมิทัศน์ แต่มีบางส่วนที่อยู่ในหัวข้อของประวัติศาสตร์ ราชสำนัก และศาสนาด้วย โดยภาพศิลปะในกลุ่มนี้ มีทั้งภาพเขียนด้วยมือ (肉筆画) ซึ่งมีราคาสูงกว่าเพราะแต่ละภาพมีเพียงชิ้นเดียว และ ภาพที่พิมพ์จากแม่พิมพ์ไม้ (木版画) ที่มีราคาถูกกว่าเนื่องจากสามารถพิมพ์ได้จ
1155006,545273,20%,78,81,ป่าดิบชื้นแอมะซอน เป็นป่าใบกว้างชื้นซึ่งป่าอะเมซอนผลิตออกซิเจนให้กับโลกประมาณกี่เปอร์เซน,ป่าดิบชื้นแอมะซอน เป็นป่าใบกว้างชื้นซึ่งป่าอะเมซอนผลิตออกซิเจนให้กับโลกประมาณ 20% และครอบคลุมพื้นที่ส่วนใหญ่ของแอ่งแอมะซอนในทวีปอเมริกาใต้ แอ่งนี้กินพื้นที่ 7 ล้านตารางกิโลเมตร ซึ่งป่าดิบชื้นแอมะซอนกินพื้นที่ไป 5.5 ล้านตารางกิโลเมตร ภูมิภาคนี้รวมดินแดนที่เป็นของ 9 ประเทศ พื้นที่ป่าส่วนใหญ่ราวร้อยละ 60 อยู่ในประเทศบราซิล รองลงมา คือ ประเทศเปรู ร้อยละ 13 และประเทศโคลอมเบีย ร้อยละ 
1155006,545274,ประเทศบราซิล,309,321,ป่าดิบชื้นแอมะซอนกินพื้นที่ไป 5.5 ล้านตารางกิโลเมตร ภูมิภาคนี้รวมดินแดนที่เป็นของ 9 ประเทศ พื้นที่ป่าส่วนใหญ่ราวร้อยละ 60 อยู่ในประเทศอะไร,"นแอมะซอน เป็นป่าใบกว้างชื้นซึ่งป่าอะเมซอนผลิตออกซิเจนให้กับโลกประมาณ 20% และครอบคลุมพื้นที่ส่วนใหญ่ของแอ่งแอมะซอนในทวีปอเมริกาใต้ แอ่งนี้กินพื้นที่ 7 ล้านตารางกิโลเมตร ซึ่งป่าดิบชื้นแอมะซอนกินพื้นที่ไป 5.5 ล้านตารางกิโลเมตร ภูมิภาคนี้รวมดินแดนที่เป็นของ 9 ประเทศ พื้นที่ป่าส่วนใหญ่ราวร้อยละ 60 อยู่ในประเทศบราซิล รองลงมา คือ ประเทศเปรู ร้อยละ 13 และประเทศโคลอมเบีย ร้อยละ 10 และมีพื้นที่เล็กน้อยในประเทศเวเนซุเอลา, ประเทศเอกวาดอร์, ประเทศโบลิเวีย, ประเทศกายอานา, ประเทศซูรินาม, และเฟรนช์เกียนา ป่าแอมะซอนเป็นเนื้อที่กว่าครึ่งของป่าดิบชื้นที่ยังเหลืออยู่บนโลก[1] และเป็นป่าดิบชื้นเขตร้อนขนาดใหญ่ที่สุดและมีความหลา"
1155007,545275,พ.ศ. 2557,235,244,พลเอก ประยุทธ์ จันทร์โอชา ก่อรัฐประหารในประเทศไทยเมื่อปีใด,พลเอก ประยุทธ์ จันทร์โอชา (ชื่อเล่น ตู่; เกิด 21 มีนาคม พ.ศ. 2497) เป็นนักการเมืองและทหารบกชาวไทย นายกรัฐมนตรีไทยคนที่ 29 และรัฐมนตรีว่าการกระทรวงกลาโหมของไทยคนปัจจุบัน เคยเป็นหัวหน้าคณะรักษาความสงบแห่งชาติ ซึ่งก่อรัฐประหารในประเทศไทย พ.ศ. 2557 และเป็นคณะรัฐประหารที่ปกครองประเทศไทย ตั้งแต่ปี พ.ศ. 2557 ถึงปี พ.ศ. 2562 และผู้บัญชาการทหารบกของไทย
1155007,545276,29,119,121,พลเอก ประยุทธ์ จันทร์โอชา (ชื่อเล่น ตู่; เกิด 21 มีนาคม พ.ศ. 2497) เป็นนักการเมืองและทหารบกชาวไทย นายกรัฐมนตรีไทยคนที่เท่าไหร่,พลเอก ประยุทธ์ จันทร์โอชา (ชื่อเล่น ตู่; เกิด 21 มีนาคม พ.ศ. 2497) เป็นนักการเมืองและทหารบกชาวไทย นายกรัฐมนตรีไทยคนที่ 29 และรัฐมนตรีว่าการกระทรวงกลาโหมของไทยคนปัจจุบัน เคยเป็นหัวหน้าคณะรักษาความสงบแห่งชาติ ซึ่งก่อรัฐประหารในประเทศไทย พ.ศ. 2557 และเป็นคณะรัฐประหารที่ปกครองประเทศไทย ตั้งแต่ปี พ.ศ. 2557 ถึงปี พ.ศ. 2562 และผู้บัญชาการทหารบกของไทย
1155008,545277,พลตรี จำลอง ศรีเมือง,64,84,ปี 2537 ทักษิณเข้าสู่วงการเมืองสังกัดพรรคพลังธรรม โดยการชักนำของใคร,ปี 2537 ทักษิณเข้าสู่วงการเมืองสังกัดพรรคพลังธรรม โดยการชักนำของพลตรี จำลอง ศรีเมือง ต่อมาก่อตั้งพรรคไทยรักไทย ในปี 2541 หลังการเลือกตั้งสมาชิกสภาผู้แทนราษฎรเป็นการทั่วไปปี 2544 พรรคไทยรักไทยได้รับเสียงข้างมากในสภา จึงดำรงตำแหน่งนายกรัฐมนตรีเป็นสมัยแรก นโยบายเด่นของเขา ได้แก่ การขยายหลักประกันสุขภาพถ้วนหน้า การลดความยากจนและลงทุนโครงสร้างพื้นฐาน การส่งเสริมวิสาหกิจขนาดกลางและขนาดย่
1155008,545278,การขยายหลักประกันสุขภาพถ้วนหน้า การลดความยากจนและลงทุนโครงสร้างพื้นฐาน การส่งเสริมวิสาหกิจขนาดกลางและขนาดย่อม และการประกาศสงครามยาเสพติด,277,413,ปี 2544 พรรคไทยรักไทยได้รับเสียงข้างมากในสภา ทักษิณจึงดำรงตำแหน่งนายกรัฐมนตรีเป็นสมัยแรก นโยบายเด่นของเขาได้แก่อะไรบ้าง,ปี 2537 ทักษิณเข้าสู่วงการเมืองสังกัดพรรคพลังธรรม โดยการชักนำของพลตรี จำลอง ศรีเมือง ต่อมาก่อตั้งพรรคไทยรักไทย ในปี 2541 หลังการเลือกตั้งสมาชิกสภาผู้แทนราษฎรเป็นการทั่วไปปี 2544 พรรคไทยรักไทยได้รับเสียงข้างมากในสภา จึงดำรงตำแหน่งนายกรัฐมนตรีเป็นสมัยแรก นโยบายเด่นของเขา ได้แก่ การขยายหลักประกันสุขภาพถ้วนหน้า การลดความยากจนและลงทุนโครงสร้างพื้นฐาน การส่งเสริมวิสาหกิจขนาดกลางและขนาดย่อม และการประกาศสงครามยาเสพติด ซึ่งได้รับความนิยมอย่างล้นหลามโดยเฉพาะอย่างยิ่งในชนบท เขาดำรงตำแหน่งสมัยแรกจนครบวาระสี่ปี ผลการเลือกตั้งเป็นการทั่วไปปี 2548 ทำให้ทักษิณดำรงตำแหน่งนายกรัฐมนตรีสมัยที่สอง ด้วยคะแนนเสียงสูงที่สุดเป็นประวัติการณ์ รัฐบาลทักษิณถูกกล่าวหาหลายอย่าง เช่น ละเมิดสิทธิมนุษยชน ฉ้อราษฎร์บังหลวง เป็นเผด็จการรัฐส
1155009,545279,โทนี่ วู้ดซัม,53,66,ทักษิณ ชินวัตร มีนามแฝงว่าอะไร,ทักษิณ ชินวัตร (เกิด 26 กรกฎาคม พ.ศ. 2492) นามแฝงว่า โทนี่ วู้ดซัม[2] (อังกฤษ: Tony Woodsome) เป็นนักธุรกิจและอดีตนักการเมืองชาวไทย นายกรัฐมนตรีไทยคนที่ 23 ดำรงตำแหน่งตั้งแต่ปี 2544 ถึง 2549 เขาดำเนินธุรกิจโทรคมนาคมและการสื่อสาร ผู้ก่อตั้งกลุ่มบริษัท ชิน คอร์ปอเรชั่น จำกัด (มหาชน) อดีตเจ้าของและประธานสโมสรฟุตบอลแมนเชสเตอร์ซิตี มีสัญชาติไทยโดยการเกิด ปัจจุบันอาศัยอ
1155009,545280,แมนเชสเตอร์ซิตี,313,328,ทักษิณ ชินวัตร เป็นอดีตเจ้าของและประธานสโมสรฟุตบอลชื่อว่าอะไร,ร (เกิด 26 กรกฎาคม พ.ศ. 2492) นามแฝงว่า โทนี่ วู้ดซัม[2] (อังกฤษ: Tony Woodsome) เป็นนักธุรกิจและอดีตนักการเมืองชาวไทย นายกรัฐมนตรีไทยคนที่ 23 ดำรงตำแหน่งตั้งแต่ปี 2544 ถึง 2549 เขาดำเนินธุรกิจโทรคมนาคมและการสื่อสาร ผู้ก่อตั้งกลุ่มบริษัท ชิน คอร์ปอเรชั่น จำกัด (มหาชน) อดีตเจ้าของและประธานสโมสรฟุตบอลแมนเชสเตอร์ซิตี มีสัญชาติไทยโดยการเกิด ปัจจุบันอาศัยอยู่นอกประเทศและถือสัญชาติมอนเตเนโกร[3]
